TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-001,보유_골드 정상값 '1000' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '1000' 입력 후 동작 수행",보유_골드이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-002,보유_골드 정상값 '10000' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '10000' 입력 후 동작 수행",보유_골드이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-003,보유_골드 정상값 '99999' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '99999' 입력 후 동작 수행",보유_골드이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-004,보유_골드에 비정상값 '0' 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '0' 입력 후 동작 수행",보유_골드 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-005,보유_골드에 비정상값 '9' 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 보유_골드 에 '9' 입력 후 동작 수행",보유_골드 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-006,구매_수량 정상값 '1' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '1' 입력 후 동작 수행",구매_수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-007,구매_수량 정상값 '5' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '5' 입력 후 동작 수행",구매_수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-008,구매_수량 정상값 '10' 입력 시 동작 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '10' 입력 후 동작 수행",구매_수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-009,구매_수량에 비정상값 '0' 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '0' 입력 후 동작 수행",구매_수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-010,구매_수량에 비정상값 '-1' 입력 시 오류 처리 확인,상점,로그인 + 상점 진입 가능 상태,"1. 로그인
2. 마을 진입
3. 상점 NPC 클릭
4. 구매_수량 에 '-1' 입력 후 동작 수행",구매_수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
