TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-001,아이템_종류 정상값 '무기' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 에 '무기' 입력 후 동작 수행",아이템_종류이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-002,아이템_종류 정상값 '방어구' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 에 '방어구' 입력 후 동작 수행",아이템_종류이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-003,아이템_종류 정상값 '소비' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 에 '소비' 입력 후 동작 수행",아이템_종류이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-004,아이템_종류에 비정상값 '존재하지않음' 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 에 '존재하지않음' 입력 후 동작 수행",아이템_종류 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-005,아이템_종류에 비정상값 '삭제된아이템' 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 아이템_종류 에 '삭제된아이템' 입력 후 동작 수행",아이템_종류 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-006,수량 정상값 '1' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '1' 입력 후 동작 수행",수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-007,수량 정상값 '50' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '50' 입력 후 동작 수행",수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-008,수량 정상값 '99' 입력 시 동작 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '99' 입력 후 동작 수행",수량이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-009,수량에 비정상값 '0' 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '0' 입력 후 동작 수행",수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-010,수량에 비정상값 '-1' 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '-1' 입력 후 동작 수행",수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-011,수량에 비정상값 '100' 입력 시 오류 처리 확인,인벤토리,로그인 + 캐릭터 생성 완료 상태,"1. 로그인
2. 캐릭터 선택
3. 인벤토리 진입
4. 수량 에 '100' 입력 후 동작 수행",수량 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
