TC_ID,테스트명,분류,전제조건,테스트단계,예상결과,실제결과,결과,심각도,우선순위,플랫폼,발견자,발견일
TC-001,캐릭터_상태 정상값 '정상' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 에 '정상' 입력 후 동작 수행",캐릭터_상태이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-002,캐릭터_상태 정상값 '버프' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 에 '버프' 입력 후 동작 수행",캐릭터_상태이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-003,캐릭터_상태 정상값 '디버프' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 에 '디버프' 입력 후 동작 수행",캐릭터_상태이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-004,캐릭터_상태에 비정상값 '사망' 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 에 '사망' 입력 후 동작 수행",캐릭터_상태 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-005,캐릭터_상태에 비정상값 '기절' 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 에 '기절' 입력 후 동작 수행",캐릭터_상태 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-006,스킬_타입 정상값 '공격' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_타입 에 '공격' 입력 후 동작 수행",스킬_타입이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-007,스킬_타입 정상값 '방어' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_타입 에 '방어' 입력 후 동작 수행",스킬_타입이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-008,스킬_타입 정상값 '회복' 입력 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_타입 에 '회복' 입력 후 동작 수행",스킬_타입이(가) 정상 처리됨,,,Medium,Medium,PC,자동생성,2026-06-20
TC-009,스킬_타입에 비정상값 '미보유스킬' 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_타입 에 '미보유스킬' 입력 후 동작 수행",스킬_타입 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-010,스킬_타입에 비정상값 '쿨타임중' 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_타입 에 '쿨타임중' 입력 후 동작 수행",스킬_타입 오류 메시지 표시,,,High,Medium,PC,자동생성,2026-06-20
TC-011,캐릭터_HP 최소 미만값(0HP) 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_HP 에 '0HP' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-012,캐릭터_HP 최소값(1HP) 입력 시 정상 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_HP 에 '1HP' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-013,캐릭터_HP 최대값(9999HP) 입력 시 정상 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_HP 에 '9999HP' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-014,캐릭터_HP 최대 초과값(10000HP) 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_HP 에 '10000HP' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-015,스킬_쿨타임 최소 미만값(-1초) 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_쿨타임 에 '-1초' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-016,스킬_쿨타임 최소값(0초) 입력 시 정상 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_쿨타임 에 '0초' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-017,스킬_쿨타임 최대값(300초) 입력 시 정상 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_쿨타임 에 '300초' 입력 후 동작 수행",정상 처리,,,Medium,High,PC,자동생성,2026-06-20
TC-018,스킬_쿨타임 최대 초과값(301초) 입력 시 오류 처리 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 스킬_쿨타임 에 '301초' 입력 후 동작 수행",오류 메시지 표시,,,High,High,PC,자동생성,2026-06-20
TC-019,정상 캐릭터_상태 + 정상 스킬_타입 조합 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 + 스킬_타입 에 '캐릭터_상태=유효, 스킬_타입=유효' 입력 후 동작 수행","스킬 발동, 데미지 적용",,,Critical,High,PC,자동생성,2026-06-20
TC-020,비정상 캐릭터_상태 + 정상 스킬_타입 조합 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 + 스킬_타입 에 '캐릭터_상태=무효, 스킬_타입=유효' 입력 후 동작 수행",스킬 사용 불가 메시지,,,High,High,PC,자동생성,2026-06-20
TC-021,정상 캐릭터_상태 + 비정상 스킬_타입 조합 시 동작 확인,전투,로그인 + 전투 가능 지역 진입 상태,"1. 로그인
2. 전투 지역 진입
3. 몬스터 발견
4. 캐릭터_상태 + 스킬_타입 에 '캐릭터_상태=유효, 스킬_타입=무효' 입력 후 동작 수행",스킬 쿨타임 메시지 또는 미보유 메시지,,,Medium,Medium,PC,자동생성,2026-06-20
