"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Flare RPG QA","0","게임 시작","1","0","FR-002 Play Game 클릭 시 다음 화면 이동","0"
"0","Flare RPG QA","0","전투","1","0","FR-008 몬스터 공격","0"
"0","Flare RPG QA","0","인벤토리","1","0","FR-007 인벤토리 닫기","0"
"0","Flare RPG QA","0","인벤토리","1","0","FR-005 인벤토리 열기","0"
"0","Flare RPG QA","0","인벤토리","1","0","FR-006 아이템 장착/해제","0"
"0","Flare RPG QA","0","게임 시작","1","0","FR-001 메인메뉴 화면 표시","0"
"0","Flare RPG QA","0","게임 시작","1","0","FR-003 캐릭터 생성 화면 이동","0"
"0","Flare RPG QA","0","재시작","1","0","FR-010 게임오버 후 재시작","0"
"0","Flare RPG QA","0","전투","1","0","FR-009 피격","0"
"0","Flare RPG QA","0","캐릭터 이동","1","0","","0"
