"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        FR-006: 아이템을 해제하고 다시 장착할 수 있는지 확인

        전제조건: 인벤토리 열린 상태, 옷이 장착되어 있음
        테스트 단계: 드래그로 해제 → 우클릭으로 재장착
        기대 결과: 해제 시 빈 슬롯, 장착 시 슬롯에 아이템 표시
        ","2632","test_FR006_아이템_장착_해제","tests","2026-06-24","passed","2026-06-24","TestInventory","test_3_inventory","",""
"
        FR-001: 게임 실행 시 메인메뉴 화면이 정상적으로 표시되는지 확인

        전제조건: 게임이 실행된 상태
        테스트 단계: 현재 화면에서 메인메뉴 요소 확인
        기대 결과: logo, play_game 템플릿이 모두 발견됨
        ","178","test_FR001_메인메뉴_표시","tests","2026-06-24","passed","2026-06-24","TestStart","test_1_start","",""
"
        FR-008: 몬스터 공격 시 몬스터 체력이 감소하는지 확인

        전제조건: 몬스터 근처 위치 (좀비가 다가오는 중)
        테스트 단계: 좀비 위치로 마우스 호버 → 체력바 확인 → 공격 → 체력 비교
        기대 결과: 몬스터 체력바 픽셀 변화 감지

        체력바는 마우스 호버 시에만 표시되므로 호버 유지 상태로 비교
        ","4357","test_FR008_몬스터_공격","tests","2026-06-24","passed","2026-06-24","TestCombat","test_4_combat","",""
"
        FR-005: I 키 입력 시 인벤토리가 정상적으로 열리는지 확인

        전제조건: 플레이 가능 상태
        테스트 단계: I 키 입력
        기대 결과: 인벤토리 창 표시 (inventory.png 발견)
        ","508","test_FR005_인벤토리_열기","tests","2026-06-24","passed","2026-06-24","TestInventory","test_3_inventory","",""
"
        FR-009: 몬스터에게 피격 시 캐릭터 체력이 감소하는지 확인

        전제조건: 몬스터 근처 위치 (전투 중)
        테스트 단계: 좀비가 공격할 때까지 대기 (최대 15초)
        기대 결과: 캐릭터 체력바 픽셀 변화 감지

        왜 wait_for_pixel_change 사용?
        좀비 공격 속도가 일정하지 않아서 고정 sleep 보다
        변화 감지될 때까지 대기하는 게 안정적
        ","1164","test_FR009_피격","tests","2026-06-24","passed","2026-06-24","TestCombat","test_4_combat","",""
"
        FR-007: I 키 입력 시 인벤토리가 정상적으로 닫히는지 확인

        전제조건: 인벤토리 열린 상태
        테스트 단계: I 키 입력
        기대 결과: 인벤토리 창 사라짐
        ","484","test_FR007_인벤토리_닫기","tests","2026-06-24","passed","2026-06-24","TestInventory","test_3_inventory","",""
"
        FR-003: 세이브 삭제 후 New Game 클릭 시 캐릭터 생성 화면으로 이동하는지 확인

        전제조건: 세이브 선택 화면
        테스트 단계: Delete Save → Yes → New Game 클릭
        기대 결과: 캐릭터 생성 화면 표시 (choose_portrait 템플릿 발견)
        ","130","test_FR003_캐릭터_생성_화면","tests","2026-06-24","passed","2026-06-24","TestStart","test_1_start","",""
"
        FR-010: 게임오버 화면에서 Continue 버튼 클릭 시 재시작 되는지 확인

        전제조건: 게임오버 화면 상태
        테스트 단계: Continue 버튼 클릭
        기대 결과: 게임오버 화면 사라지고 플레이 화면 복귀
        ","833","test_FR010_재시작","tests","2026-06-24","passed","2026-06-24","TestGameOver","test_5_gameover","",""
"
        FR-004: 방향키 입력 시 캐릭터가 정상적으로 이동하는지 확인

        전제조건: 플레이 가능 상태 (대화 종료)
        테스트 단계: 아래 방향 이동 키(S) 입력
        기대 결과: 미니맵의 캐릭터 위치 변화로 이동 감지
        ","1686","test_FR004_캐릭터_이동","tests","2026-06-24","passed","2026-06-24","TestMovement","test_2_movement","",""
"
        FR-002: Play Game 클릭 시 다음 화면으로 정상 이동하는지 확인

        전제조건: 메인메뉴 화면
        테스트 단계: Play Game 버튼 클릭
        기대 결과: 세이브 선택 화면 or 캐릭터 생성 화면 표시
                (세이브 유무에 따라 다름)
        ","185","test_FR002_play_game_클릭","tests","2026-06-24","passed","2026-06-24","TestStart","test_1_start","",""
