"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Unity QA","0","SceneLoadTest","1","0","UT-001 타이틀씬 로드","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-008 정의되지 않은 레벨 입력","0"
"0","Unity QA","0","PlayerStatusTest","1","0","UT-009 피격시 체력바 감소","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-007 쿨다운 업그레이드 레벨1","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-007 쿨다운 업그레이드 레벨3","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-006 데미지 업그레이드 레벨2","0"
"0","Unity QA","0","EnemyCombatTest","1","0","UT-004 적 체력 음수 방지","0"
"0","Unity QA","0","PlayerStatusTest","1","0","UT-011 데미지 저항 적용","0"
"0","Unity QA","0","EnemyCombatTest","1","0","UT-003 적 피격시 체력 감소","0"
"0","Unity QA","0","PlayerStatusTest","1","0","UT-010 회복시 최대체력 초과 방지","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-006 데미지 업그레이드 레벨1","0"
"0","Unity QA","0","SceneLoadTest","1","0","UT-002 배틀씬 플레이어 존재","0"
"0","Unity QA","0","WeaponUpgradeTest","1","0","UT-006 데미지 업그레이드 레벨3","0"
"0","Unity QA","0","EnemyCombatTest","1","0","UT-005 적 사망시 오브젝트 제거","0"
