"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1144","UT-001 타이틀씬 로드","","2026-07-25","passed","2026-07-25","","SceneLoadTest","SceneLoadTest",""
"","1075","UT-008 정의되지 않은 레벨 입력","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","1570","UT-009 피격시 체력바 감소","","2026-07-25","passed","2026-07-25","","PlayerStatusTest","PlayerStatusTest",""
"","978","UT-007 쿨다운 업그레이드 레벨1","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","983","UT-007 쿨다운 업그레이드 레벨3","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","950","UT-006 데미지 업그레이드 레벨2","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","2647","UT-004 적 체력 음수 방지","","2026-07-25","passed","2026-07-25","","EnemyCombatTest","EnemyCombatTest",""
"","1492","UT-011 데미지 저항 적용","","2026-07-25","passed","2026-07-25","","PlayerStatusTest","PlayerStatusTest",""
"","3679","UT-003 적 피격시 체력 감소","","2026-07-25","passed","2026-07-25","","EnemyCombatTest","EnemyCombatTest",""
"","1470","UT-010 회복시 최대체력 초과 방지","","2026-07-25","passed","2026-07-25","","PlayerStatusTest","PlayerStatusTest",""
"","1013","UT-006 데미지 업그레이드 레벨1","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","1274","UT-002 배틀씬 플레이어 존재","","2026-07-25","passed","2026-07-25","","SceneLoadTest","SceneLoadTest",""
"","1041","UT-006 데미지 업그레이드 레벨3","","2026-07-25","passed","2026-07-25","","WeaponUpgradeTest","WeaponUpgradeTest",""
"","3558","UT-005 적 사망시 오브젝트 제거","","2026-07-25","passed","2026-07-25","","EnemyCombatTest","EnemyCombatTest",""
